,Date,Revenue
0,2020-04-30,1021
1,2020-01-31,2194
2,2019-10-31,1439
3,2019-07-31,1286
4,2019-04-30,1548
5,2019-01-31,3063
6,2018-10-31,1935
7,2018-07-31,1501
8,2018-04-30,1786
9,2018-01-31,2825
10,2017-10-31,1989
11,2017-07-31,1688
12,2017-04-30,2046
13,2017-01-31,2403
14,2016-10-31,1959
15,2016-07-31,1632
16,2016-04-30,1972
17,2016-01-31,3525
18,2015-10-31,2016
19,2015-07-31,1762
20,2015-04-30,2061
21,2015-01-31,3476
22,2014-10-31,2092
23,2014-07-31,1731
24,2014-04-30,1996
25,2014-01-31,3684
26,2013-10-31,2107
27,2013-07-31,1384
28,2013-04-30,1865
29,2013-01-31,3562
30,2012-10-31,1773
31,2012-07-31,1550
32,2012-04-30,2002
33,2012-01-31,3579
34,2011-10-31,1947
35,2011-07-31,1744
36,2011-04-30,2281
37,2011-01-31,3693
38,2010-10-31,1899
39,2010-07-31,1799
40,2010-04-30,2083
41,2010-01-31,3524
42,2009-10-31,1835
43,2009-07-31,1739
44,2009-04-30,1981
45,2009-01-31,3492
46,2008-10-31,1696
47,2008-07-31,1804
48,2008-04-30,1814
49,2008-01-31,2866
50,2007-10-31,1611
51,2007-07-31,1338
52,2007-04-30,1279
53,2007-01-31,2304
54,2006-10-31,1012
55,2006-07-31,963
56,2006-04-30,1040
57,2006-01-31,1667
58,2005-10-31,534
59,2005-07-31,416
60,2005-04-30,475
61,2005-01-31,709
