,Date,Revenue
0,2022-09-30,21454
1,2022-06-30,16934
2,2022-03-31,18756
3,2021-12-31,17719
4,2021-09-30,13757
5,2021-06-30,11958
6,2021-03-31,10389
7,2020-12-31,10744
8,2020-09-30,8771
9,2020-06-30,6036
10,2020-03-31,5985
11,2019-12-31,7384
12,2019-09-30,6303
13,2019-06-30,6350
14,2019-03-31,4541
15,2018-12-31,7226
16,2018-09-30,6824
17,2018-06-30,4002
18,2018-03-31,3409
19,2017-12-31,3288
20,2017-09-30,2985
21,2017-06-30,2790
22,2017-03-31,2696
23,2016-12-31,2285
24,2016-09-30,2298
25,2016-06-30,1270
26,2016-03-31,1147
27,2015-12-31,1214
28,2015-09-30,937
29,2015-06-30,955
30,2015-03-31,940
31,2014-12-31,957
32,2014-09-30,852
33,2014-06-30,769
34,2014-03-31,621
35,2013-12-31,615
36,2013-09-30,431
37,2013-06-30,405
38,2013-03-31,562
39,2012-12-31,306
40,2012-09-30,50
41,2012-06-30,27
42,2012-03-31,30
43,2011-12-31,39
44,2011-09-30,58
45,2011-06-30,58
46,2011-03-31,49
47,2010-12-31,36
48,2010-09-30,31
49,2010-06-30,28
50,2010-03-31,21
51,2009-12-31,46
52,2009-09-30,27
